provider,function,memory,parameter,timestamp,duration,status,id,billed_duration,billed_units,cost,extra
Amazon,matrix1024,1024,300,2018-04-24T10:29:48.300Z,227,0,69d8ac6c-47aa-11e8-8279-d73b57fbe351,300,0,5.00E-06,{'mem_used': 32}
Amazon,matrix1024,1024,400,2018-04-24T10:29:50.584Z,548,0,6b04f774-47aa-11e8-989b-453582998f28,600,0,1.00E-05,{'mem_used': 39}
Amazon,matrix1024,1024,500,2018-04-24T10:29:52.696Z,883,0,6c138139-47aa-11e8-9ee9-cb7aeb15f33a,900,0,1.50E-05,{'mem_used': 47}
Amazon,matrix1024,1024,600,2018-04-24T10:29:57.195Z,3342,0,6d4ac83a-47aa-11e8-88c8-0d20df2ec426,3400,3,5.67E-05,{'mem_used': 57}
Amazon,matrix1024,1024,700,2018-04-24T10:30:02.343Z,3256,0,7069470f-47aa-11e8-917e-e5ed17e46b92,3300,3,5.50E-05,{'mem_used': 69}
Amazon,matrix1024,1024,800,2018-04-24T10:30:10.300Z,6756,0,7311d17a-47aa-11e8-98fe-6534f3c0fee1,6800,6,0.000113356,{'mem_used': 98}
Amazon,matrix1024,1024,900,2018-04-24T10:30:24.153Z,12712,0,77c48404-47aa-11e8-8321-435d889c2f9a,12800,12,0.000213376,{'mem_used': 102}
Amazon,matrix1024,1024,1000,2018-04-24T10:30:46.012Z,20272,0,804b4983-47aa-11e8-bc90-9b0366e3546d,20300,20,0.000338401,{'mem_used': 102}
Amazon,matrix2048,2048,100,2018-04-24T10:31:21.984Z,18,0,a1cf9bc7-47aa-11e8-b69b-b394b70e8379,100,0,3.33E-06,{'mem_used': 28}
Amazon,matrix2048,2048,200,2018-04-24T10:31:23.179Z,47,0,a281fb86-47aa-11e8-b4ba-59cea1e6210d,100,0,3.33E-06,{'mem_used': 29}
Amazon,matrix2048,2048,300,2018-04-24T10:31:24.440Z,127,0,a335e25e-47aa-11e8-a33a-71cd973791fe,200,0,6.67E-06,{'mem_used': 31}
Amazon,matrix2048,2048,400,2018-04-24T10:31:25.985Z,401,0,a3f78514-47aa-11e8-937a-93c3587e11d8,500,1,1.67E-05,{'mem_used': 36}
Amazon,matrix2048,2048,500,2018-04-24T10:31:27.959Z,781,0,a4eb5ae0-47aa-11e8-82b7-19b65e159585,800,1,2.67E-05,{'mem_used': 46}
Amazon,matrix2048,2048,600,2018-04-24T10:31:33.674Z,2554,0,a7459e0f-47aa-11e8-a8f3-3383b9544a01,2600,5,8.67E-05,{'mem_used': 62}
Amazon,matrix2048,2048,700,2018-04-24T10:31:39.607Z,4443,0,a9ad4f79-47aa-11e8-8524-85c40df82fe5,4500,9,0.00015003,{'mem_used': 70}
Amazon,matrix2048,2048,800,2018-04-24T10:31:48.580Z,7474,0,ad3760e4-47aa-11e8-91a2-87b25fc2bdea,7500,15,0.00025005,{'mem_used': 118}
Amazon,matrix2048,2048,900,2018-04-24T10:32:07.273Z,17140,0,b29a01df-47aa-11e8-b26c-db6539c9c44d,17200,34,0.000573448,{'mem_used': 146}
Amazon,matrix2048,2048,1000,2018-04-24T10:32:21.670Z,12609,0,bde0d225-47aa-11e8-a91c-851cbc579374,12700,25,0.000423418,{'mem_used': 149}
Microsoft,matrix128,128,100,2018-04-24T12:24:58.128Z,36,0,38c8469a-555f-4de0-b969-ccb122dfa20f,36,0,7.20E-08,{}
Microsoft,matrix128,128,200,2018-04-24T12:25:00.571Z,126,0,3ed73771-1bf9-4d21-82ae-e81d6db516d0,126,0,2.52E-07,{}
Microsoft,matrix128,128,300,2018-04-24T12:25:02.619Z,373,0,567cdf30-a552-452c-8871-954890b20e59,373,0,7.46E-07,{}
Microsoft,matrix128,128,400,2018-04-24T12:25:05.086Z,784,0,85e4180d-6ce2-45d0-b9bf-587bfc674b27,784,0,1.57E-06,{}
Microsoft,matrix128,128,500,2018-04-24T12:25:08.365Z,1581,0,2ac81a95-1912-494e-a08b-6a48615a9f3f,1581,0,3.16E-06,{}
Microsoft,matrix128,128,600,2018-04-24T12:25:14.051Z,3653,0,32b8d500-7663-43a0-b13f-c60c16aaa38f,3653,0,7.31E-06,{}
Microsoft,matrix128,128,700,2018-04-24T12:25:23.735Z,8002,0,35289fd2-9032-448a-a699-b8ea484af3f8,8002,1,1.60E-05,{}
Microsoft,matrix128,128,800,2018-04-24T12:25:40.784Z,15411,0,adf92560-0b95-4357-bc33-ccb19094a085,15411,1,3.08E-05,{}
Microsoft,matrix128,128,900,2018-04-24T12:25:42.386Z,21848,0,566a9ef7-d915-4188-8aa0-2d048490c6fa,21848,2,4.37E-05,{}
Microsoft,matrix128,128,1000,2018-04-24T12:26:38.62Z,32831,0,e7a3414b-d745-4bf9-b901-b7c064970a39,32831,4,6.57E-05,{}
Microsoft,matrix256,256,100,2018-04-24T12:28:53.989Z,28,0,e9bc1c5a-2278-4c5c-ab35-12f47a3e894a,28,0,1.12E-07,{}
Microsoft,matrix256,256,200,2018-04-24T12:28:55.754Z,131,0,6cec08fe-73e7-4475-9ba0-724a84599f22,131,0,5.24E-07,{}
Microsoft,matrix256,256,300,2018-04-24T12:28:57.725Z,371,0,3a6bd49f-675a-424f-82a5-96bc1d3756d9,371,0,1.48E-06,{}
Microsoft,matrix256,256,400,2018-04-24T12:29:00.772Z,926,0,272e7539-31a5-4a7d-a382-bacae2f4ad28,926,0,3.70E-06,{}
