provider,function,memory,parameter,timestamp,duration,status,id,billed_duration,billed_units,cost,extra
Amazon,sleep1024,1024,64,2018-04-25T10:52:31.171Z,65,0,c0b41c7a-4876-11e8-b69a-4134e6f4cac1,100,0,1.67E-06,{'mem_used': 28}
Amazon,sleep1024,1024,64,2018-04-26T10:52:11.661Z,65,0,df7a46e5-493f-11e8-afc6-2b5fd836bc30,100,0,1.67E-06,{'mem_used': 27}
Amazon,sleep1024,1024,8,2018-04-24T10:50:33.139Z,27,0,4fef09c9-47ad-11e8-b7cd-8fb3614975dc,100,0,1.67E-06,{'mem_used': 26}
Amazon,sleep1024,1024,8,2018-04-25T10:52:26.645Z,12,0,be096f2d-4876-11e8-a0f0-f7512f09d601,100,0,1.67E-06,{'mem_used': 28}
Amazon,sleep1024,1024,8,2018-04-26T10:52:06.881Z,29,0,dca6b4fd-493f-11e8-af49-e7e5cb9df60f,100,0,1.67E-06,{'mem_used': 27}
Amazon,sleep1024,1024,8192,2018-04-24T10:51:02.652Z,8202,0,5ca76a42-47ad-11e8-8e2b-d780b4a201e0,8300,8,0.000138361,{'mem_used': 27}
Amazon,sleep1024,1024,8192,2018-04-25T10:52:58.434Z,8203,0,cc1a33d4-4876-11e8-b429-cbfb7866ba87,8300,8,0.000138361,{'mem_used': 28}
Amazon,sleep1024,1024,8192,2018-04-26T10:52:37.131Z,8203,0,e9cf3c06-493f-11e8-99d5-bda4ebbff61b,8300,8,0.000138361,{'mem_used': 27}
Amazon,sleep128,128,1024,2018-04-24T10:48:40.178Z,1026,0,0c05c86e-47ad-11e8-8913-851a0a13b001,1100,0,2.29E-06,{'mem_used': 26}
Amazon,sleep128,128,1024,2018-04-25T10:50:42.220Z,1025,0,7f2d5c44-4876-11e8-977a-71223a41cb2a,1100,0,2.29E-06,{'mem_used': 26}
Amazon,sleep128,128,1024,2018-04-26T10:50:17.254Z,1026,0,9ab6d27f-493f-11e8-bde0-dd5e75823792,1100,0,2.29E-06,{'mem_used': 26}
Amazon,sleep128,128,128,2018-04-24T10:48:34.086Z,129,0,08ed652e-47ad-11e8-9a97-03b831602e1c,200,0,4.17E-07,{'mem_used': 26}
Amazon,sleep128,128,128,2018-04-25T10:50:36.086Z,129,0,7c0e1ab7-4876-11e8-bff9-115d6ba65fa8,200,0,4.17E-07,{'mem_used': 26}
Amazon,sleep128,128,128,2018-04-26T10:50:12.061Z,133,0,982615a2-493f-11e8-9a83-cff1e3b16a10,200,0,4.17E-07,{'mem_used': 26}
Amazon,sleep128,128,16,2018-04-24T10:48:28.988Z,17,0,05f449db-47ad-11e8-a4c7-43f991e2c490,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,16,2018-04-25T10:50:32.520Z,17,0,79ff5f74-4876-11e8-a8d6-8756ab80adab,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,16,2018-04-26T10:50:06.798Z,17,0,951552a7-493f-11e8-94e1-0177a691674f,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,2,2018-04-24T10:48:25.043Z,3,0,039cc4fe-47ad-11e8-9d6a-692e72c58c97,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,2,2018-04-25T10:50:28.127Z,3,0,776294a9-4876-11e8-80a5-2d8739e6ff15,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,2,2018-04-26T10:50:03.353Z,4,0,9309a423-493f-11e8-87f1-09063b2c2a30,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,2048,2018-04-24T10:48:43.320Z,2051,0,0d48f799-47ad-11e8-8cfd-0dea6b1efc47,2100,0,4.38E-06,{'mem_used': 26}
Amazon,sleep128,128,2048,2018-04-25T10:50:45.360Z,2051,0,806fa088-4876-11e8-8982-034ed03ee355,2100,0,4.38E-06,{'mem_used': 26}
Amazon,sleep128,128,2048,2018-04-26T10:50:21.243Z,2071,0,9c7831bc-493f-11e8-b18a-c334f2c6003a,2100,0,4.38E-06,{'mem_used': 26}
Amazon,sleep128,128,256,2018-04-24T10:48:35.530Z,322,0,09ab8551-47ad-11e8-af06-51d54fb9eb39,400,0,8.34E-07,{'mem_used': 26}
Amazon,sleep128,128,256,2018-04-25T10:50:37.440Z,257,0,7cc9065d-4876-11e8-903f-07e85cb5a03e,300,0,6.25E-07,{'mem_used': 26}
Amazon,sleep128,128,256,2018-04-26T10:50:13.449Z,269,0,98e5bbd7-493f-11e8-8fdd-b74d21167b5e,300,0,6.25E-07,{'mem_used': 26}
Amazon,sleep128,128,32,2018-04-24T10:48:31.621Z,33,0,06ea90c7-47ad-11e8-99a1-571cd303a61f,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,32,2018-04-25T10:50:33.714Z,33,0,7ab23436-4876-11e8-b842-3fd4de9cb78f,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,32,2018-04-26T10:50:08.746Z,32,0,963c46bf-493f-11e8-8999-a710ba39022e,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,4,2018-04-24T10:48:26.196Z,10,0,044b542f-47ad-11e8-9190-6317b4860a97,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,4,2018-04-25T10:50:29.977Z,8,0,787c693d-4876-11e8-8047-bdcbf6ef883c,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,4,2018-04-26T10:50:04.541Z,5,0,93bec347-493f-11e8-ab18-47ab3df3bacf,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,4096,2018-04-24T10:48:54.593Z,4160,0,12be36e6-47ad-11e8-81e3-b3883a2edbaa,4200,0,8.75E-06,{'mem_used': 26}
Amazon,sleep128,128,4096,2018-04-25T10:50:50.614Z,4101,0,8258fa3a-4876-11e8-b99c-dd6345aeddca,4200,0,8.75E-06,{'mem_used': 26}
Amazon,sleep128,128,4096,2018-04-26T10:50:26.662Z,4101,0,9e7d290f-493f-11e8-96e9-85e4860e6a1e,4200,0,8.75E-06,{'mem_used': 26}
Amazon,sleep128,128,512,2018-04-24T10:48:37.248Z,514,0,0a945ee9-47ad-11e8-900c-cb9181ec6a75,600,0,1.25E-06,{'mem_used': 26}
Amazon,sleep128,128,512,2018-04-25T10:50:39.650Z,523,0,7df180ad-4876-11e8-9b48-15d41c9539f5,600,0,1.25E-06,{'mem_used': 26}
Amazon,sleep128,128,512,2018-04-26T10:50:15.072Z,514,0,99b80085-493f-11e8-886e-b178651642c6,600,0,1.25E-06,{'mem_used': 26}
Amazon,sleep128,128,64,2018-04-24T10:48:32.842Z,65,0,0839580e-47ad-11e8-86b0-2d1b75744391,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,64,2018-04-25T10:50:34.912Z,65,0,7b6494db-4876-11e8-8b45-7dc28920b4ad,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,64,2018-04-26T10:50:10.678Z,76,0,975c5d58-493f-11e8-89a6-111dbe9065b2,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,8,2018-04-24T10:48:27.341Z,52,0,04f3c911-47ad-11e8-9258-dffec7314adb,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,8,2018-04-25T10:50:31.296Z,54,0,793cfa12-4876-11e8-a377-a57dcf2b7a56,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,8,2018-04-26T10:50:05.692Z,24,0,94658b1f-493f-11e8-8cb1-f36109c549e7,100,0,2.08E-07,{'mem_used': 26}
Amazon,sleep128,128,8192,2018-04-24T10:49:03.939Z,8202,0,15e89b90-47ad-11e8-abec-5b3c79a1f9d3,8300,1,1.73E-05,{'mem_used': 27}
Amazon,sleep128,128,8192,2018-04-25T10:50:59.897Z,8202,0,856e5017-4876-11e8-b180-f589205c3e89,8300,1,1.73E-05,{'mem_used': 27}
Amazon,sleep128,128,8192,2018-04-26T10:50:36.279Z,8202,0,a1c61304-493f-11e8-acfe-47fdbb39eee9,8300,1,1.73E-05,{'mem_used': 27}
Amazon,sleep2048,2048,1024,2018-04-24T10:51:23.232Z,1026,0,6d35b2ad-47ad-11e8-8b71-a11692a5f0a5,1100,2,3.67E-05,{'mem_used': 29}
Amazon,sleep2048,2048,1024,2018-04-25T10:53:18.701Z,1027,0,dc75aba2-4876-11e8-a6da-a5fa34de6311,1100,2,3.67E-05,{'mem_used': 28}
Amazon,sleep2048,2048,1024,2018-04-26T10:52:57.642Z,1029,0,fa4bd16b-493f-11e8-9637-23a8a5964cac,1100,2,3.67E-05,{'mem_used': 29}
